Reward Baseline Evaluation Summary
reward_version: C_lite_after_tax_value_change_minus_cooldown_penalty
tax_profile_name: mass_affluent_individual
resolved_tax_profile: {'profile_name': 'mass_affluent_individual', 'short_term_rate': 0.1919, 'long_term_rate': 0.1018, 'niit_rate': 0.0, 'apply_niit': False}
model_path: runs/train_reward_c_lite_v4_full/best_validation_model.pt
episode_splits_path: runs/train_reward_c_lite_v4_full/episode_splits.csv
num_validation_episodes: 1517
num_test_episodes: 1519
policies_evaluated: trained_dqn_greedy, trained_dqn_thresholded_margin_0p001, trained_dqn_thresholded_margin_0p005, trained_dqn_thresholded_margin_0p010, trained_dqn_thresholded_margin_0p015, trained_dqn_thresholded_margin_0p020, hold_to_terminal, sell_immediately, sell_half_then_hold, sell_quarters_over_time, random_policy
best_validation_policy_by_mean_final_after_tax_total_value: hold_to_terminal
best_test_policy_by_mean_final_after_tax_total_value: hold_to_terminal
summary_table:
     split                          policy_name  num_episodes  mean_episode_total_reward  mean_episode_total_reward_A  mean_episode_total_reward_C_lite  mean_episode_total_reward_C_lite_v2  mean_episode_total_transaction_penalty  mean_episode_total_cooldown_penalty  median_episode_total_reward  std_episode_total_reward  min_episode_total_reward  max_episode_total_reward  p05_episode_total_reward  p95_episode_total_reward  mean_final_after_tax_total_value  median_final_after_tax_total_value  mean_realized_after_tax_pnl  median_realized_after_tax_pnl  mean_episode_steps  median_episode_steps  terminal_liquidation_frequency  full_liquidation_frequency  cut_frequency  sell_immediately_frequency  mean_first_cut_step  median_first_cut_step  mean_first_cut_fraction_executed  average_days_to_first_sale  median_days_to_first_sale  average_steps_to_first_sale  pct_episodes_with_first_sale_before_tax_transition  pct_episodes_sold_before_tax_transition  mean_pct_position_sold_short_term  mean_pct_position_sold_long_term  mean_effective_tax_rate  mean_total_tax_paid  mean_transaction_penalty  mean_cooldown_penalty  mean_num_discretionary_sales  mean_num_cooldown_penalized_sales  mean_excess_value_vs_sell_immediately  mean_excess_value_vs_hold_to_terminal
      test trained_dqn_thresholded_margin_0p020          1519                   0.023297                     0.023887                          0.023297                             0.023297                                     0.0                             0.000590                     0.016225                  0.102941                 -0.888061                  1.185003                 -0.098333                  0.176035                          0.418191                            0.309602                     0.418191                       0.309602           27.296906                  24.0                        0.292956                         1.0       0.865043                    0.184332             8.246575                    4.0                          0.317161                   11.983257                        6.0                     8.246575                                            0.863068                                 0.863068                           0.780941                          0.219059                 0.172157             0.083369                       0.0               0.000590                      2.638578                           1.373272                               0.023887                              -0.086155
validation                     hold_to_terminal          1517                   0.090020                     0.090020                          0.090020                             0.090020                                     0.0                             0.000000                     0.050848                  0.331267                 -1.167808                  3.724793                 -0.285819                  0.571092                          0.513235                            0.384871                     0.513235                       0.384871          102.146341                  87.0                        1.000000                         1.0       0.000000                    0.000000                  NaN                    NaN                               NaN                         NaN                        NaN                          NaN                                            0.000000                                 0.000000                           0.000000                          1.000000                 0.097505             0.058876                       0.0               0.000000                      0.000000                           0.000000                               0.090020                               0.000000
validation                        random_policy          1517                   0.001011                     0.001811                          0.001011                             0.001011                                     0.0                             0.000800                     0.000000                  0.028912                 -0.566583                  0.236099                 -0.030012                  0.035331                          0.425027                            0.279134                     0.425027                       0.279134            2.384970                   2.0                        0.045485                         1.0       0.991430                    0.793013             0.239362                    0.0                          0.627327                    0.348404                        0.0                     0.239362                                            0.988794                                 0.988794                           0.972643                          0.027357                 0.189432             0.098644                       0.0               0.000800                      1.897165                           0.905735                               0.001811                              -0.088209
validation                  sell_half_then_hold          1517                   0.045010                     0.045010                          0.045010                             0.045010                                     0.0                             0.000000                     0.025424                  0.165634                 -0.583904                  1.862396                 -0.142909                  0.285546                          0.468225                            0.347694                     0.468225                       0.347694          102.146341                  87.0                        1.000000                         1.0       1.000000                    1.000000             0.000000                    0.0                          0.500000                    0.000000                        0.0                     0.000000                                            0.996704                                 0.996704                           0.498352                          0.501648                 0.148519             0.079619                       0.0               0.000000                      1.000000                           0.000000                               0.045010                              -0.045010
validation                     sell_immediately          1517                   0.000000                     0.000000                          0.000000                             0.000000                                     0.0                             0.000000                     0.000000                  0.000000                  0.000000                  0.000000                  0.000000                  0.000000                          0.423216                            0.274078                     0.423216                       0.274078            1.000000                   1.0                        0.000000                         1.0       1.000000                    1.000000             0.000000                    0.0                          1.000000                    0.000000                        0.0                     0.000000                                            0.996704                                 0.996704                           0.996704                          0.003296                 0.191603             0.100362                       0.0               0.000000                      1.000000                           0.000000                               0.000000                              -0.090020
validation              sell_quarters_over_time          1517                   0.000223                     0.001843                          0.000223                             0.000223                                     0.0                             0.001620                    -0.000869                  0.040723                 -0.785903                  0.234182                 -0.039567                  0.049857                          0.425059                            0.281888                     0.425059                       0.281888            3.797627                   4.0                        0.088991                         1.0       1.000000                    1.000000             0.000000                    0.0                          0.250000                    0.000000                        0.0                     0.000000                                            0.996704                                 0.996704                           0.948583                          0.051417                 0.187265             0.096685                       0.0               0.001620                      3.797627                           2.797627                               0.001843                              -0.088176
validation                   trained_dqn_greedy          1517                   0.006648                     0.007593                          0.006648                             0.006648                                     0.0                             0.000945                     0.004088                  0.105930                 -1.405412                  2.115085                 -0.098262                  0.115093                          0.430809                            0.295144                     0.430809                       0.295144           14.721819                  13.0                        0.169413                         1.0       0.938036                    0.342123             2.929023                    1.0                          0.315882                    4.203795                        2.0                     2.929023                                            0.936717                                 0.936717                           0.881510                          0.118490                 0.181120             0.090104                       0.0               0.000945                      2.978906                           1.909690                               0.007593                              -0.082426
validation trained_dqn_thresholded_margin_0p001          1517                   0.006613                     0.007548                          0.006613                             0.006613                                     0.0                             0.000935                     0.004058                  0.106130                 -1.405412                  2.115085                 -0.098477                  0.115428                          0.430764                            0.296396                     0.430764                       0.296396           14.951220                  13.0                        0.170732                         1.0       0.937376                    0.338167             3.004219                    1.0                          0.316983                    4.309423                        2.0                     3.004219                                            0.936058                                 0.936058                           0.880686                          0.119314                 0.181045             0.090051                       0.0               0.000935                      2.970995                           1.895188                               0.007548                              -0.082471
validation trained_dqn_thresholded_margin_0p005          1517                   0.006530                     0.007422                          0.006530                             0.006530                                     0.0                             0.000892                     0.003883                  0.108413                 -1.405412                  2.115085                 -0.103174                  0.119749                          0.430638                            0.298123                     0.430638                       0.298123           16.044166                  14.0                        0.180620                         1.0       0.933421                    0.320369             3.427966                    2.0                          0.319739                    4.920904                        2.0                     3.427966                                            0.932103                                 0.932103                           0.873270                          0.126730                 0.180387             0.089489                       0.0               0.000892                      2.936058                           1.844430                               0.007422                              -0.082597
validation trained_dqn_thresholded_margin_0p010          1517                   0.006477                     0.007322                          0.006477                             0.006477                                     0.0                             0.000845                     0.004387                  0.115068                 -1.833283                  2.115085                 -0.109267                  0.125958                          0.430538                            0.298315                     0.430538                       0.298315           17.517469                  16.0                        0.191167                         1.0       0.930784                    0.297297             3.974504                    2.0                          0.319759                    5.711756                        2.0                     3.974504                                            0.929466                                 0.929466                           0.865030                          0.134970                 0.179637             0.088831                       0.0               0.000845                      2.907053                           1.783125                               0.007322                              -0.082697
validation trained_dqn_thresholded_margin_0p015          1517                   0.006491                     0.007288                          0.006491                             0.006491                                     0.0                             0.000797                     0.005119                  0.120048                 -1.833283                  2.115085                 -0.117293                  0.131375                          0.430504                            0.298123                     0.430504                       0.298123           19.055372                  17.0                        0.204351                         1.0       0.921556                    0.268952             4.587983                    2.0                          0.316881                    6.595851                        3.0                     4.587983                                            0.920897                                 0.920897                           0.852835                          0.147165                 0.178562             0.087987                       0.0               0.000797                      2.860910                           1.697429                               0.007288                              -0.082731
validation trained_dqn_thresholded_margin_0p020          1517                   0.007207                     0.007951                          0.007207                             0.007207                                     0.0                             0.000744                     0.005119                  0.134081                 -1.833283                  2.761598                 -0.125685                  0.136600                          0.431166                            0.298301                     0.431166                       0.298301           20.578115                  19.0                        0.222808                         1.0       0.911668                    0.244562             5.370210                    2.0                          0.317607                    7.721620                        4.0                     5.370210                                            0.911009                                 0.911009                           0.840145                          0.159855                 0.177453             0.087236                       0.0               0.000744                      2.794990                           1.620303                               0.007951                              -0.082069
