policy_name,lower_rate_suffix,higher_rate_suffix,episodes,mean_wealth_difference_higher_minus_lower,median_wealth_difference_higher_minus_lower,paired_wins_higher,paired_ties,paired_losses_higher,mean_difference_ci95_low,mean_difference_ci95_high
sell_half_then_hold,1000,1500,1519,0.00818479214174,0.00660834136645,1477,42,0,0.00784725031119,0.00851431732341
sell_half_then_hold,1050,1200,1519,0.0024679839026,0.00199803071409,1477,42,0,0.00236643042522,0.00256721121062
sell_half_then_hold,1050,1375,1519,0.00532812267068,0.00430531878644,1477,42,0,0.00510853945299,0.00554250039195
sell_half_then_hold,1050,1500,1519,0.00735869900426,0.00593807522463,1477,42,0,0.00705508272565,0.00765516358669
sell_half_then_hold,1200,1375,1519,0.00286013876808,0.00230728807235,1477,42,0,0.0027421154601,0.00297540860521
sell_half_then_hold,1200,1500,1519,0.00489071510166,0.00394004451054,1477,42,0,0.00468878326626,0.00508814008029
sell_half_then_hold,1375,1500,1519,0.00203057633358,0.00163275643819,1477,42,0,0.00194662222909,0.00211272831348
sell_quarters_over_time,0700,1000,1519,0.00980141441182,0.00794284062047,1477,42,0,0.00939254360235,0.0102000730419
sell_quarters_over_time,0700,1050,1519,0.011422848672,0.00925151315472,1477,42,0,0.0109460636997,0.0118874642409
sell_quarters_over_time,0700,1200,1519,0.0162668437328,0.0131522544316,1477,42,0,0.0155868314806,0.0169304140854
sell_quarters_over_time,0700,1375,1519,0.021880347265,0.0176561108584,1477,42,0,0.0209640677642,0.0227754000808
sell_quarters_over_time,0700,1500,1519,0.025865573267,0.0208428561943,1477,42,0,0.024781232987,0.0269245298121
sell_quarters_over_time,1000,1050,1519,0.00162143426022,0.00130867253424,1477,42,0,0.0015535466089,0.00168775961341
sell_quarters_over_time,1000,1200,1519,0.00646542932098,0.00520941381118,1477,42,0,0.00619437315594,0.00673013663889
sell_quarters_over_time,1000,1375,1519,0.0120789328532,0.00971327023793,1477,42,0,0.0115716352236,0.0125738040683
sell_quarters_over_time,1000,1500,1519,0.0160641588551,0.0129000155738,1477,42,0,0.015388552857,0.0167226205379
sell_quarters_over_time,1050,1200,1519,0.00484399506076,0.00390074127693,1477,42,0,0.00464086768431,0.00504235671247
sell_quarters_over_time,1050,1375,1519,0.010457498593,0.00840459770369,1477,42,0,0.0100180131773,0.0108860241419
sell_quarters_over_time,1050,1500,1519,0.0144427245949,0.0115913430396,1477,42,0,0.0138350028527,0.0150348406114
sell_quarters_over_time,1200,1375,1519,0.00561350353223,0.00450385642676,1477,42,0,0.0053772339092,0.00584366742941
sell_quarters_over_time,1200,1500,1519,0.00959872953415,0.00769060176266,1477,42,0,0.00919422358467,0.00999248389898
sell_quarters_over_time,1375,1500,1519,0.00398522600192,0.0031867453359,1477,42,0,0.00381698967546,0.00414908303458
random_policy,0700,1000,1519,0.00989286973195,0.00800420789987,1472,47,0,0.00948668012365,0.0102935941572
random_policy,0700,1050,1519,0.011529463591,0.00932313823555,1472,47,0,0.0110560668364,0.0119967935321
random_policy,0700,1200,1519,0.016418798638,0.0132547002197,1472,47,0,0.0157446025647,0.0170856386545
random_policy,0700,1375,1519,0.0220849403,0.0177945984689,1472,47,0,0.0211763872508,0.0229839630015
random_policy,0700,1500,1519,0.0261075980778,0.0210071395148,1472,47,0,0.025031834395,0.0271720481801
random_policy,1000,1050,1519,0.00163659385905,0.00131893033568,1472,47,0,0.00156928216658,0.00170319937498
random_policy,1000,1200,1519,0.00652592890609,0.00525049231981,1472,47,0,0.00625699696008,0.00679203025062
random_policy,1000,1375,1519,0.012192070568,0.00979039056898,1472,47,0,0.0116885055187,0.0126903162655
random_policy,1000,1500,1519,0.0162147283459,0.0130029316149,1472,47,0,0.015543952663,0.016878401444
random_policy,1050,1200,1519,0.00488933504704,0.00393156198413,1472,47,0,0.0046877147935,0.0050888308059
random_policy,1050,1375,1519,0.010555476709,0.0084714602333,1472,47,0,0.0101192233521,0.0109871168208
random_policy,1050,1500,1519,0.0145781344868,0.0116840012792,1472,47,0,0.0139746704964,0.0151752019993
random_policy,1200,1375,1519,0.00566614166196,0.00453989824917,1472,47,0,0.00543150855864,0.00589828601485
random_policy,1200,1500,1519,0.00968879943978,0.00775243929507,1472,47,0,0.00928695570289,0.0100863711934
random_policy,1375,1500,1519,0.00402265777782,0.0032125410459,1472,47,0,0.00385544714425,0.00418794132829
