Reward Baseline Evaluation Summary
reward_version: C_lite_after_tax_value_change_minus_cooldown_penalty
tax_profile_name: mass_affluent_individual
resolved_tax_profile: {'profile_name': 'mass_affluent_individual', 'short_term_rate': 0.1919, 'long_term_rate': 0.1018, 'niit_rate': 0.0, 'apply_niit': False}
model_path: runs/train_reward_c_lite_v5_full/best_validation_model.pt
episode_splits_path: runs/train_reward_c_lite_v5_full/episode_splits.csv
num_validation_episodes: 1517
num_test_episodes: 1519
policies_evaluated: trained_dqn_greedy, trained_dqn_thresholded_margin_0p001, trained_dqn_thresholded_margin_0p005, trained_dqn_thresholded_margin_0p010, trained_dqn_thresholded_margin_0p015, trained_dqn_thresholded_margin_0p020, hold_to_terminal, sell_immediately, sell_half_then_hold, sell_quarters_over_time, random_policy, trained_dqn_first_sale_margin_0p020_normal_0p020, trained_dqn_first_sale_margin_0p030_normal_0p020, trained_dqn_first_sale_margin_0p040_normal_0p020, trained_dqn_first_sale_margin_0p050_normal_0p020, trained_dqn_first_sale_margin_0p060_normal_0p020, trained_dqn_first_sale_margin_0p070_normal_0p020, trained_dqn_first_sale_margin_0p080_normal_0p020, trained_dqn_first_sale_margin_0p090_normal_0p020
best_validation_policy_by_mean_final_after_tax_total_value: hold_to_terminal
best_test_policy_by_mean_final_after_tax_total_value: hold_to_terminal
summary_table:
     split                                      policy_name  num_episodes  mean_episode_total_reward  mean_episode_total_reward_A  mean_episode_total_reward_C_lite  mean_episode_total_reward_C_lite_v2  mean_episode_total_transaction_penalty  mean_episode_total_cooldown_penalty  median_episode_total_reward  std_episode_total_reward  min_episode_total_reward  max_episode_total_reward  p05_episode_total_reward  p95_episode_total_reward  mean_final_after_tax_total_value  median_final_after_tax_total_value  mean_realized_after_tax_pnl  median_realized_after_tax_pnl  mean_episode_steps  median_episode_steps  terminal_liquidation_frequency  full_liquidation_frequency  cut_frequency  sell_immediately_frequency  mean_first_cut_step  median_first_cut_step  mean_first_cut_fraction_executed  average_days_to_first_sale  median_days_to_first_sale  average_steps_to_first_sale  pct_episodes_with_first_sale_before_tax_transition  pct_episodes_sold_before_tax_transition  mean_pct_position_sold_short_term  mean_pct_position_sold_long_term  mean_effective_tax_rate  mean_total_tax_paid  mean_transaction_penalty  mean_cooldown_penalty  mean_num_discretionary_sales  mean_num_cooldown_penalized_sales  mean_excess_value_vs_sell_immediately  mean_excess_value_vs_hold_to_terminal
      test trained_dqn_first_sale_margin_0p070_normal_0p020          1519                   0.065660                     0.065814                          0.065660                             0.065660                                     0.0                             0.000154                     0.034753                  0.261868                 -0.849274                  4.398716                 -0.204116                  0.418653                          0.460117                            0.363631                     0.460117                       0.363631           56.497696                  45.0                        0.613562                         1.0       0.466096                    0.009875            44.120056                   36.0                          0.508121                   64.387006                       52.0                    44.120056                                            0.466096                                 0.466096                           0.431369                          0.568631                 0.138271             0.072137                       0.0               0.000154                      0.946675                           0.358789                               0.065814                              -0.044228
      test trained_dqn_first_sale_margin_0p080_normal_0p020          1519                   0.069147                     0.069291                          0.069147                             0.069147                                     0.0                             0.000144                     0.038684                  0.267614                 -0.849274                  4.398716                 -0.216288                  0.437317                          0.463594                            0.370119                     0.463594                       0.370119           59.982225                  48.0                        0.653720                         1.0       0.415405                    0.007900            49.873217                   41.0                          0.514659                   72.651347                       59.0                    49.873217                                            0.415405                                 0.415405                           0.384957                          0.615043                 0.133438             0.070538                       0.0               0.000144                      0.840026                           0.335089                               0.069291                              -0.040752
      test trained_dqn_first_sale_margin_0p090_normal_0p020          1519                   0.074135                     0.074272                          0.074135                             0.074135                                     0.0                             0.000136                     0.043342                  0.273076                 -0.849274                  4.398716                 -0.230840                  0.451052                          0.468575                            0.374724                     0.468575                       0.374724           64.150099                  51.0                        0.706386                         1.0       0.362080                    0.005267            57.494545                   45.0                          0.525000                   83.661818                       64.0                    57.494545                                            0.362080                                 0.362080                           0.332620                          0.667380                 0.128521             0.068771                       0.0               0.000136                      0.722186                           0.292298                               0.074272                              -0.035771
      test                               trained_dqn_greedy          1519                   0.018041                     0.018567                          0.018041                             0.018041                                     0.0                             0.000527                     0.008220                  0.121259                 -0.731484                  1.874214                 -0.125808                  0.171802                          0.412870                            0.311145                     0.412870                       0.311145           27.432521                  17.0                        0.190915                         1.0       0.908492                    0.160632            10.921739                    4.0                          0.437319                   15.707246                        6.0                    10.921739                                            0.902567                                 0.902567                           0.861916                          0.138084                 0.179355             0.088180                       0.0               0.000527                      2.198157                           0.915076                               0.018567                              -0.091475
      test             trained_dqn_thresholded_margin_0p001          1519                   0.018261                     0.018774                          0.018261                             0.018261                                     0.0                             0.000513                     0.008489                  0.122507                 -0.731484                  1.874214                 -0.137739                  0.175101                          0.413077                            0.311889                     0.413077                       0.311889           28.348255                  17.0                        0.195523                         1.0       0.907176                    0.157340            11.376633                    4.0                          0.438498                   16.367925                        6.0                    11.376633                                            0.901251                                 0.901251                           0.858789                          0.141211                 0.179068             0.088065                       0.0               0.000513                      2.182357                           0.898618                               0.018774                              -0.091269
      test             trained_dqn_thresholded_margin_0p005          1519                   0.022113                     0.022545                          0.022113                             0.022113                                     0.0                             0.000432                     0.009969                  0.135438                 -0.743924                  1.874214                 -0.148916                  0.200461                          0.416848                            0.318466                     0.416848                       0.318466           32.526662                  20.0                        0.217248                         1.0       0.895984                    0.132982            14.587803                    5.0                          0.448200                   21.009552                        7.0                    14.587803                                            0.891376                                 0.891376                           0.842824                          0.157176                 0.177371             0.087509                       0.0               0.000432                      2.079658                           0.784727                               0.022545                              -0.087497
      test             trained_dqn_thresholded_margin_0p010          1519                   0.028669                     0.029019                          0.028669                             0.028669                                     0.0                             0.000350                     0.012505                  0.150265                 -0.743924                  1.963933                 -0.159401                  0.245602                          0.423323                            0.323766                     0.423323                       0.323766           37.748519                  23.0                        0.258723                         1.0       0.874918                    0.107966            19.188864                    7.0                          0.458616                   27.675696                       10.0                    19.188864                                            0.871626                                 0.871626                           0.812541                          0.187459                 0.174432             0.086902                       0.0               0.000350                      1.935484                           0.652403                               0.029019                              -0.081023
      test             trained_dqn_thresholded_margin_0p015          1519                   0.034023                     0.034308                          0.034023                             0.034023                                     0.0                             0.000285                     0.015697                  0.162821                 -0.755444                  1.963933                 -0.168096                  0.267210                          0.428611                            0.326778                     0.428611                       0.326778           41.495721                  26.0                        0.301514                         1.0       0.853193                    0.093483            24.045525                    9.0                          0.473380                   34.702932                       13.0                    24.045525                                            0.850560                                 0.850560                           0.782258                          0.217742                 0.171758             0.086486                       0.0               0.000285                      1.806452                           0.556945                               0.034308                              -0.075735
      test             trained_dqn_thresholded_margin_0p020          1519                   0.039867                     0.040099                          0.039867                             0.039867                                     0.0                             0.000231                     0.017289                  0.196037                 -0.755444                  3.216626                 -0.176988                  0.289485                          0.434402                            0.330401                     0.434402                       0.330401           44.861093                  29.0                        0.359447                         1.0       0.824885                    0.081633            28.221069                   12.0                          0.487630                   40.733440                       17.0                    28.221069                                            0.822251                                 0.822251                           0.739631                          0.260369                 0.167730             0.085319                       0.0               0.000231                      1.662278                           0.468071                               0.040099                              -0.069943
validation                                 hold_to_terminal          1517                   0.090020                     0.090020                          0.090020                             0.090020                                     0.0                             0.000000                     0.050848                  0.331267                 -1.167808                  3.724793                 -0.285819                  0.571092                          0.513235                            0.384871                     0.513235                       0.384871          102.146341                  87.0                        1.000000                         1.0       0.000000                    0.000000                  NaN                    NaN                               NaN                         NaN                        NaN                          NaN                                            0.000000                                 0.000000                           0.000000                          1.000000                 0.097505             0.058876                       0.0               0.000000                      0.000000                           0.000000                               0.090020                               0.000000
