split,policy_name,policy_label,start_tax_transition_bucket,start_tax_transition_bucket_order,num_episodes,mean_start_days_to_tax_transition,median_start_days_to_tax_transition,mean_pct_original_sold_before_long_term,mean_pct_original_sold_at_or_after_long_term,pct_episodes_with_no_discretionary_sale,mean_final_after_tax_total_value,mean_excess_final_after_tax_value_vs_hold
validation,random_policy,Random benchmark,61_to_90_days,2,134,74.46268656716418,74.0,100.0,0.0,0.0,0.4569247747364613,-0.043779191081853
validation,random_policy,Random benchmark,91_to_120_days,3,110,104.65454545454546,105.0,100.0,0.0,0.0,0.40629007828244174,-0.05838228027948087
validation,random_policy,Random benchmark,121_to_180_days,4,152,149.6578947368421,148.0,100.0,0.0,0.0,0.43585462963197846,-0.12449605681905107
validation,random_policy,Random benchmark,over_180_days,5,622,273.2652733118971,274.0,100.0,0.0,0.0,0.28209505377760447,-0.10901504271166697
test,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,0_to_30_days,0,299,11.117056856187292,9.0,9.698996655518394,90.3010033444816,86.2876254180602,0.5803930851608862,-0.008214687202803205
test,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,31_to_60_days,1,145,43.92413793103448,44.0,28.10344827586207,71.89655172413794,63.44827586206897,0.5140151554888461,-0.023728107408010166
test,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,61_to_90_days,2,157,74.45222929936305,75.0,54.45859872611465,45.54140127388535,33.75796178343949,0.4486332998650394,-0.04778450166232826
test,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,91_to_120_days,3,138,105.48550724637681,105.0,48.007246376811594,51.992753623188406,50.0,0.5054312386104766,-0.05071071727488321
test,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,121_to_180_days,4,187,148.42245989304814,147.0,64.57219251336899,35.42780748663101,33.155080213903744,0.4201700463702404,-0.06185034857149652
test,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,over_180_days,5,593,269.6779089376054,272.0,52.78246205733558,47.217537942664414,46.711635750421586,0.39138593536198946,-0.05939196458492853
