split,group_name,group_bucket,num_episodes,preferred_mean_final_value,hold_to_terminal_mean_final_value,sell_immediately_mean_final_value,sell_half_then_hold_mean_final_value,preferred_minus_hold_mean,preferred_minus_sell_immediately_mean,preferred_minus_sell_half_mean,preferred_win_rate_vs_hold,preferred_win_rate_vs_sell_immediately,preferred_win_rate_vs_sell_half,preferred_mean_tax_paid,preferred_mean_short_term_sold_fraction,preferred_no_cut_pct,preferred_median_EAAT_Sharpe,hold_to_terminal_median_EAAT_Sharpe,sell_immediately_median_EAAT_Sharpe,sell_half_then_hold_median_EAAT_Sharpe,preferred_median_TA_EAAT_Sharpe,hold_to_terminal_median_TA_EAAT_Sharpe,sell_immediately_median_TA_EAAT_Sharpe,sell_half_then_hold_median_TA_EAAT_Sharpe,preferred_minus_hold_mean_EAAT_Sharpe,preferred_minus_hold_median_EAAT_Sharpe,preferred_EAAT_Sharpe_win_rate_vs_hold,preferred_minus_hold_mean_TA_EAAT_Sharpe,preferred_minus_hold_median_TA_EAAT_Sharpe,preferred_TA_EAAT_Sharpe_win_rate_vs_hold,preferred_minus_sell_immediately_mean_EAAT_Sharpe,preferred_minus_sell_half_mean_EAAT_Sharpe,preferred_minus_sell_immediately_mean_TA_EAAT_Sharpe,preferred_minus_sell_half_mean_TA_EAAT_Sharpe
validation,final_episode_return_bucket,low,506,0.1394134868112133,0.18952549468038193,0.2714902979301843,0.2305078963052831,-0.050112007869168605,-0.13207681111897096,-0.09109440949406979,0.19367588932806323,0.10869565217391304,0.13438735177865613,0.02950036503257791,0.6057312252964426,0.3774703557312253,0.4893188582504404,0.5012342404643695,1.2399287955257843,0.817924101564248,0.5455842975369064,0.5012342404643695,2.4018907390653603,1.480177319801428,-0.05615991855515708,0.0,0.23715415019762845,37315836.35366833,0.0,0.30039525691699603,-0.8374958419092081,-0.3947338428779597,-41104494421.815025,-29269299895.557526
validation,final_episode_return_bucket,high,506,0.9219426264883063,0.9601256187994228,0.6924166048086184,0.8262711118040206,-0.03818299231111658,0.22952602167968775,0.0956715146842856,0.05731225296442688,0.8893280632411067,0.8359683794466403,0.12857560312391042,0.26679841897233203,0.7055335968379447,1.9883930721066978,2.030772620344199,1.6965239270257042,1.949941054421723,2.114739948929984,2.030772620344199,2.272595948676213,2.2454690691930326,-0.02679874703173852,0.0,0.1067193675889328,0.17758997506740756,0.0,0.15810276679841898,0.33739953175262327,0.05648638121616233,-14.1575302960054,-8.541654167688318
validation,final_episode_return_bucket,mid,505,0.3543845571519965,0.38981056752027915,0.305507535741689,0.34765905163098404,-0.03542601036828268,0.048877021410307475,0.0067255055210123935,0.16831683168316833,0.8178217821782178,0.6554455445544555,0.060383718895950324,0.4638613861386139,0.504950495049505,1.1648046428403518,1.1550068911278657,1.2354123707607616,1.2507692820439464,1.2661942384707392,1.1550068911278657,1.7089991242273999,1.5221344188960912,0.010605728285478223,0.0,0.22574257425742575,0.525987387307976,0.0,0.300990099009901,-0.09776044331442275,-0.08846456082615961,-1164160651641783.2,-969727728728885.8
validation,maximum_gain_bucket,high,506,0.6698441616443644,0.7805520434895762,0.45034228336300236,0.6154471634262892,-0.11070788184521183,0.21950187828136206,0.05439699821807514,0.14624505928853754,0.8300395256916996,0.6343873517786561,0.11368651197197409,0.6482213438735178,0.3201581027667984,1.5358045457117373,1.7161963666874835,1.479093174732976,1.7061556044110076,1.868383057929495,1.7161963666874835,3.421363915540173,2.857749881241391,-0.1137605484333806,0.0,0.22529644268774704,37315836.62213721,0.0,0.3616600790513834,0.11227721252670057,-0.13174630563602813,-41023260257.40545,-29211455438.497772
validation,maximum_gain_bucket,mid,505,0.4456906447860011,0.4587913933368904,0.4478220236300969,0.45330670848349364,-0.013100748550889257,-0.00213137884409576,-0.007616063697492508,0.13465346534653466,0.6138613861386139,0.594059405940594,0.06408575281529698,0.3940594059405941,0.5801980198019802,1.128670986268886,1.1146015667553235,1.334649873611787,1.2455252512227295,1.247334816646802,1.1146015667553235,1.96966711233166,1.6687285847801077,0.012978311961783432,0.0,0.18217821782178217,0.34762764340298935,0.0,0.2297029702970297,-0.24953901184541313,-0.1163177182606883,-1166475086336891.5,-971655616857568.6
validation,maximum_gain_bucket,low,506,0.30038631083465633,0.30025456991633775,0.3715313854160256,0.3358929776661817,0.0001317409183185684,-0.07114507458136934,-0.03550666683152538,0.1383399209486166,0.3715415019762846,0.39723320158102765,0.04069473853773545,0.2939723320158103,0.6877470355731226,0.8578089005744035,0.8128269779886537,1.257134182698063,1.0053397061139917,0.8770681166194463,0.8128269779886537,1.541851151339924,1.2898382778478654,0.02843398807072584,0.0,0.16205533596837945,0.08712834349059248,0.0,0.16798418972332016,-0.4608949117976132,-0.17870304435692144,-4.702299296711514,-2.1725924271725456
validation,drawdown_after_episode_start_bucket,high,506,0.37361792089901447,0.40784576893955227,0.4555823183879968,0.4317140436637745,-0.034227848040537794,-0.08196439748898236,-0.05809612276476007,0.26679841897233203,0.26877470355731226,0.26679841897233203,0.06520101234631244,0.650197628458498,0.3241106719367589,0.5781350192142337,0.4822928214147061,1.4075540046523285,0.9010891777426496,0.7080356836317935,0.4822928214147061,3.3910512550770715,2.067121646672769,0.0392973270526376,0.0,0.3181818181818182,37315836.69349792,0.0,0.383399209486166,-0.8020063364583474,-0.33570282658268247,-1164201837692733.2,-969757056102783.9
validation,drawdown_after_episode_start_bucket,mid,505,0.4476734840456099,0.5009402265497074,0.367114392741628,0.4340273096456677,-0.05326674250409763,0.08055909130398187,0.013646174399942118,0.10495049504950495,0.596039603960396,0.497029702970297,0.07112699610993026,0.4415841584158416,0.5326732673267327,1.1895289625473957,1.2405043930746718,1.3430439483385204,1.3685473282950065,1.292869088422644,1.2405043930746718,1.940630526444129,1.7295916467592716,-0.07540682099379922,0.0,0.15643564356435644,0.14441821473950597,0.0,0.2396039603960396,-0.10758848459920911,-0.1666630123011118,-20.21606728992054,-12.142986876318218
validation,drawdown_after_episode_start_bucket,low,506,0.5946336309750607,0.6308953093428982,0.4468394800326849,0.5388673946877914,-0.03626167836783722,0.14779415094237588,0.05576623628726932,0.04743083003952569,0.950592885375494,0.8616600790513834,0.08215291036934609,0.24456521739130435,0.7312252964426877,1.5699098008626882,1.6266959754943737,1.3029290780766885,1.50431304635058,1.6395734715998942,1.6266959754943737,1.5467430893675385,1.6262265337461836,-0.03641342863551124,0.0,0.09486166007905138,0.21857548668965643,0.0,0.13636363636363635,0.3117186445800573,0.07549927400161804,-2.4836341469132273,-1.4724266570599767
validation,volatility_bucket,high_volatility,467,0.23997923421610612,0.26796109015832026,0.30962864331081436,0.28879486673456733,-0.02798185594221413,-0.06964940909470825,-0.04881563251846118,0.25267665952890794,0.3511777301927195,0.33832976445396146,0.046026810163561936,0.6188436830835118,0.3576017130620985,0.5392524769354736,0.4696607537533899,1.30193172425307,0.8067301486763091,0.6354366183043908,0.4696607537533899,3.134104593394418,1.898101475819028,0.04381667328798765,0.0,0.29336188436830835,40432148.391593166,0.0,0.3576017130620985,-0.7315955422643089,-0.28787023766014086,-1261844572466959.5,-1051091518872693.2
validation,volatility_bucket,medium_volatility,467,0.4762482794917437,0.5444116800347808,0.3892693836692596,0.46684053185202024,-0.06816340054303707,0.08697889582248408,0.009407747639723517,0.14132762312633834,0.6124197002141327,0.5096359743040685,0.07953715939664911,0.5010706638115632,0.46466809421841543,1.1060091953863398,1.1537245906973133,1.2763197056170004,1.2677724556136485,1.2182548235901656,1.1537245906973133,1.9441806871494736,1.693027035103614,-0.06891046409426828,0.0,0.20770877944325483,0.3812801229906829,0.0,0.28693790149892934,-0.13040768372665199,-0.18278125158519518,-25.472670985226603,-15.400350827503168
validation,volatility_bucket,low_volatility,468,0.6472651924701049,0.6850164115910339,0.523597738321766,0.6043070749564,-0.03775121912092895,0.1236674541483389,0.04295811751370497,0.05982905982905983,0.7735042735042735,0.6837606837606838,0.09173532053517706,0.3263888888888889,0.6495726495726496,1.6222905405917225,1.6673603785370723,1.5802737001959164,1.7006912248418775,1.7823697763219681,1.6673603785370723,2.0600850105273976,1.9815920459832705,-0.05321023866724279,0.0,0.11538461538461539,0.1570694697945169,0.0,0.17735042735042736,0.17034523437917756,-0.012920531520638113,-1.5081969339169838,-0.8373094877049976
validation,gain_at_episode_start_bucket,medium_start_gain,505,0.31282895739686795,0.36572075090948264,0.283662390499814,0.3246915707046483,-0.05289179351261463,0.02916656689705398,-0.011862613307780318,0.1782178217821782,0.5663366336633663,0.49306930693069306,0.058029436131092925,0.5544554455445545,0.4178217821782178,0.9832634585282743,0.993203570600952,1.226339770974458,1.0952084984135375,1.103593278604461,0.993203570600952,2.099939999244991,1.6468684187932638,-0.03154816957129004,0.0,0.23366336633663368,37389729.27082713,0.0,0.3069306930693069,-0.2842777240550583,-0.19052655318599906,-41267927718.457405,-29385676955.15478
validation,gain_at_episode_start_bucket,low_start_gain,506,0.27114971242639485,0.31746480796235904,0.2474717192113956,0.2824682635868773,-0.04631509553596417,0.02367799321499926,-0.011318551160482459,0.18379446640316205,0.5612648221343873,0.4723320158102767,0.05132935158308494,0.5820158102766798,0.3932806324110672,0.9314236961755228,0.9194665685758314,1.256217883163464,1.099555408039463,0.9854611867567188,0.9194665685758314,2.452078915913305,1.7092967928887162,-0.01020912551919465,0.0,0.2608695652173913,0.48987483755302286,0.0,0.3557312252964427,-0.36013156950209413,-0.21551524556851417,-4054.684364690216,-1868.2337898836765
validation,gain_at_episode_start_bucket,high_start_gain,506,0.8316798749370373,0.8562285137950193,0.7382371565454838,0.7972328351702516,-0.02454863885798182,0.09344271839155353,0.03444703976678586,0.05731225296442688,0.6877470355731226,0.6600790513833992,0.1090962466055239,0.20009881422924902,0.7766798418972332,1.6880048278232058,1.7146931754311863,1.6707071760156256,1.7029769297747412,1.750442262541236,1.7146931754311863,1.9717370901666769,1.8683355597544116,-0.03067895030946384,0.0,0.07509881422924901,0.041098754647974266,0.0,0.09683794466403162,0.04618392885938472,-0.02087192727565691,-1159559226141215.2,-965894812805051.9
validation,days_until_tax_transition_at_start_bucket,far_from_transition,506,0.30107590315679145,0.38216184567755396,0.27598553432854667,0.3290736900030504,-0.08108594252076247,0.02509036882824478,-0.027997786846258834,0.2628458498023715,0.5335968379446641,0.4090909090909091,0.06703614687219958,0.7895256916996047,0.18774703557312253,0.9681009412894378,0.8973990692165441,1.5244871795041983,1.2342525775576452,1.2690711567844841,0.8973990692165441,5.877436757841931,3.552514642983557,-0.006022401855566133,0.0,0.3695652173913043,37315837.02211986,0.02428098737771267,0.5138339920948617,-0.606849143157886,-0.33801835571176636,-1164201837692755.0,-969757056102797.4
validation,days_until_tax_transition_at_start_bucket,medium_transition_distance,505,0.45915639813617726,0.4954908381686187,0.40660181171593573,0.4510463249422772,-0.03633444003244151,0.05255458642024146,0.008110073193899982,0.13267326732673268,0.5287128712871287,0.48514851485148514,0.07238471369874598,0.46831683168316834,0.500990099009901,1.1094981156048582,1.153918551282169,1.246706108194678,1.2395543871846053,1.1995886554709387,1.153918551282169,1.8021832068159371,1.4960959190878211,-0.05088816197053437,0.0,0.1702970297029703,0.046563610231112974,0.0,0.21584158415841584,-0.1255722381006636,-0.13798917340130143,-0.674307164558222,-0.31140664701768506
validation,days_until_tax_transition_at_start_bucket,near_transition,506,0.6557154281328242,0.66201785144373,0.5870268834952469,0.6245223674694883,-0.00630242331090571,0.06868854463757741,0.031193060663335853,0.023715415019762844,0.7529644268774703,0.7312252964426877,0.07906254386252627,0.07855731225296443,0.8992094861660079,1.3798450934628668,1.401674316160885,1.2695536444212867,1.3511346711036758,1.3806104806331891,1.401674316160885,1.3311808617525076,1.374128389170481,-0.015563902902700289,0.0,0.029644268774703556,-0.012385243556206483,0.0,0.029644268774703556,0.13450966376622522,0.049197631896701434,0.05975166695560441,0.02389648298356003
validation,days_to_first_sale_bucket,over_180_days,167,0.33170518320547526,0.42285911699713413,0.27618888037670786,0.349523998686921,-0.09115393379165888,0.05551630282876737,-0.017818815481445757,0.2275449101796407,0.5808383233532934,0.39520958083832336,0.07744808262290523,0.9311377245508982,0.0,0.9593975030677578,1.0522286491595108,1.67522290674479,1.4351982522509883,1.090932458629159,1.0522286491595108,11.727821909789418,6.651176499431729,-0.1616960622120597,-0.17140757507970328,0.30538922155688625,0.021360005385101764,-0.09345261896701396,0.3772455089820359,-0.7596469901789478,-0.5111985494046252,-8281.418576159856,-6075.828638042533
validation,days_to_first_sale_bucket,no_discretionary_sale,803,0.5907516374347846,0.5907516374347846,0.5171565728578322,0.5539541051463084,0.0,0.07359506457695236,0.03679753228847619,0.0,0.6787048567870486,0.6787048567870486,0.06735417340699885,0.0,1.0,1.2797346955912998,1.2797346955912998,1.3226277394355297,1.3157574876165394,1.2797346955912998,1.2797346955912998,1.5975544164599196,1.514581888336369,0.0,0.0,0.0,0.0,0.0,0.0,-0.014530285931678716,-0.026157008092729767,-4.335024468899065,-2.577552285337833
validation,days_to_first_sale_bucket,31_to_180_days,388,0.3266694629973693,0.4130717374663345,0.31615453782420916,0.36461313764527187,-0.08640227446896522,0.01051492517316015,-0.037943674647902534,0.28865979381443296,0.5077319587628866,0.38144329896907214,0.07675049024270408,0.9574742268041238,0.0,0.9921567099588278,1.0843116877376695,1.3376825484196813,1.2434509225943147,1.23994956321993,1.0843116877376695,2.8863388473244496,2.0460712801664034,-0.06321583961783736,-0.11495048643694183,0.3865979381443299,0.3444240347919688,0.065724285721669,0.5412371134020618,-0.3873906338075909,-0.2684386380764053,-1520043959677371.0,-1266172992960494.2
