split,feature,feature_group,n_obs,mean_abs_change_in_q_margin,median_abs_change_in_q_margin,mean_signed_change_in_q_margin,pct_sign_flip,pct_threshold_flip_0p020,pct_threshold_flip_0p070,random_seed
test,PC1,pca_feature,85820,0.026161513858758246,0.017440252006053925,0.0010200803895693414,0.11728035422978327,0.054544395245863436,0.011873689116756,42
test,PC2,pca_feature,85820,0.023126025411655874,0.015191229060292244,-0.001280580341701568,0.09563038918666977,0.0423910510370543,0.007410859939408063,42
test,PC4,pca_feature,85820,0.018397355988102767,0.011035466566681862,-0.00027284932309669185,0.08650664180843626,0.0422279189000233,0.009030529014215801,42
test,PC3,pca_feature,85820,0.017963300160932363,0.0109389778226614,0.0003686779211397908,0.07765089722675367,0.0376252621766488,0.00689815893731065,42
test,PC6,pca_feature,85820,0.01680490243847349,0.010430598631501198,0.0009459873746424667,0.0770915870426474,0.03537636914472151,0.005965975297133535,42
test,PC5,pca_feature,85820,0.01629131019112301,0.0099016223102808,-0.0003161572304677346,0.07279189000233045,0.03545793521323701,0.0074574691214169195,42
test,PC7,pca_feature,85820,0.016274665994222393,0.00967269018292427,0.0006487988504732865,0.07527382894430203,0.03691447215101375,0.005931018410626893,42
test,bb_lower,technical_indicator,85820,0.015407319303572246,0.009259656071662903,-0.0010892771949133839,0.06955255185271499,0.034479142391051036,0.00432300163132137,42
test,PC8,pca_feature,85820,0.014137747637666866,0.008497066795825958,-0.0006112697111847249,0.061873689116756,0.029503612211605686,0.0055348403635516194,42
test,macd_signal,technical_indicator,85820,0.014023450358315653,0.00830213725566864,-0.001063559664955067,0.05343742717315311,0.022803542297832675,0.0033908179911442556,42
test,ema_50,technical_indicator,85820,0.013940966529851991,0.00796673446893692,-0.0008389705571013261,0.050337916569564205,0.02196457702167327,0.0032160335586110464,42
test,PC9,pca_feature,85820,0.013207398631484743,0.00778372585773468,6.502289530102523e-05,0.056490328594733165,0.02634584013050571,0.00580284316010254,42
test,sma_50,technical_indicator,85820,0.01269072705593422,0.0074768587946891785,0.0013364389382766793,0.054020041948263806,0.025530179445350736,0.004311349335819156,42
test,days_to_tax_transition_norm,tax_timing,85820,0.011945346594645755,0.007303137332201004,-0.00024702809517172195,0.044709857841994875,0.01719878816126777,0.002062456303891867,42
test,rsi_14,technical_indicator,85820,0.011821659589760385,0.0071016959846019745,0.0005392714339488367,0.054928920997436494,0.023607550687485435,0.003099510603588907,42
test,PC10,pca_feature,85820,0.01180525630305232,0.007029995322227478,0.00033009787008406795,0.053099510603588904,0.02504078303425775,0.005429969704031694,42
test,macd_hist,technical_indicator,85820,0.011299102926789366,0.00651698699221015,0.0005007950616245158,0.045770216732696344,0.020065252854812397,0.0029713353530645536,42
test,sma_10,technical_indicator,85820,0.009469504903147245,0.005493037402629852,0.001578941632520587,0.04103938475879748,0.018934980191097645,0.0026450710790025633,42
test,ema_5,technical_indicator,85820,0.009252084720270125,0.005337085574865341,-0.0007719533607540372,0.039291540433465395,0.018305756233978093,0.0032160335586110464,42
test,sma_5,technical_indicator,85820,0.009215110829439682,0.0053986795246601105,0.0008403855621256064,0.03931484502446982,0.017769750640876252,0.002784898625029131,42
test,bb_middle,technical_indicator,85820,0.009067763078537171,0.005402304232120514,0.0008410267283251425,0.03745047774411559,0.016324865998601723,0.002540200419482638,42
test,Gold_Close,macro_market,85820,0.00901783474156057,0.005005836486816406,-0.00010694902951509434,0.03969937077604288,0.01738522488930319,0.003460731764157539,42
test,ema_10,technical_indicator,85820,0.008832312983602235,0.005270164459943771,0.001192908928014661,0.043766021906315546,0.018212537869960382,0.002353763691447215,42
test,Semiconductor_Close,macro_market,85820,0.00867449886880058,0.0048349276185035706,0.0005810320210445388,0.03902353763691447,0.019191330692146354,0.003099510603588907,42
test,bb_upper,technical_indicator,85820,0.008614106672284011,0.005017094314098358,0.0003825469582142585,0.03964110929853181,0.017152178979258914,0.0030645537170822653,42
test,ema_20,technical_indicator,85820,0.008555325131425585,0.0050778817385435104,0.00027325589372467166,0.037042647401538106,0.01684921929620135,0.0030645537170822653,42
