split,n_observations,n_episodes,sell_step_count,sell_step_rate,first_discretionary_sale_count,hold_step_count,positive_margin_count,positive_margin_rate,crosses_normal_margin_count,crosses_normal_margin_rate,crosses_first_sale_margin_count,crosses_first_sale_margin_rate,mean_sell_q_margin,median_sell_q_margin,mean_sell_q_margin_on_sell_steps,mean_sell_q_margin_on_hold_steps,hold_action_count,sell_25_action_count,sell_50_action_count,sell_75_action_count,sell_100_action_count
validation,112570,1517,1489,0.013227325219863197,707,111072,13856,0.12308785644487874,6098,0.05417073820733766,714,0.00634272008528027,-0.0407947301864624,-0.04044131189584732,0.06542949378490448,-0.042229268699884415,111072,279,903,304,12
test,85820,1519,1434,0.016709391750174784,704,84382,8730,0.10172453973432766,3770,0.04392915404334654,708,0.008249825215567467,-0.04521955922245979,-0.04484894499182701,0.07742533087730408,-0.047310542315244675,84382,232,844,361,1
