split,feature,feature_group,n_obs,pearson_corr,spearman_corr,mean_feature_value,std_feature_value
test,days_to_tax_transition_norm,tax_timing,85820,-0.21327699751252144,-0.2141706563134223,0.4136767621303588,0.23460701369450612
test,macd_hist,technical_indicator,85820,-0.21025450095222226,-0.21310860294413522,0.4890294308560259,1.0900038100928475
test,PC2,pca_feature,85820,0.15171065161204716,0.20770838972964864,-0.10172682717492852,7.360795813793293
test,macd_signal,technical_indicator,85820,0.15696402005116858,0.18529416586637504,-0.08616481482882092,1.0700312896794295
test,sma_20,technical_indicator,85820,-0.1726655336207464,-0.17964411947240336,0.9618829791132832,1.2554804964401265
test,bb_middle,technical_indicator,85820,-0.1726655336207464,-0.17964411947240336,0.9618829791132832,1.2554804964401265
test,sma_10,technical_indicator,85820,-0.16845901582058628,-0.1757195963151473,0.9591397839084317,1.2275150122504859
test,ema_20,technical_indicator,85820,-0.16318465962024117,-0.17020599487708768,0.9795447725541765,1.2651515781151512
test,ema_10,technical_indicator,85820,-0.16212090390006414,-0.1684784377571407,0.968733207053025,1.2338805733309217
test,bb_upper,technical_indicator,85820,-0.15866340089058095,-0.16552469722250113,0.9304491153239577,1.2660588619543915
test,PC4,pca_feature,85820,-0.16904355950985717,-0.16444545828015358,-0.31222183088855754,4.456344782890722
test,bb_lower,technical_indicator,85820,-0.15857400351278078,-0.16388665635196478,0.8994717634879599,1.2320734836706635
test,ema_5,technical_indicator,85820,-0.1505690299974988,-0.155957743324209,0.9560394662332783,1.2208945112965865
test,sma_5,technical_indicator,85820,-0.14984527971393374,-0.15461380395855207,0.9506771063296803,1.2182556689196908
test,Semiconductor_Close,macro_market,85820,-0.09685985133732619,-0.142788146698472,0.005866956611470126,1.0490891931782766
test,VIX_Close,macro_market,85820,0.13481186280609078,0.14265405522563385,-0.06675204092669053,1.045361489768431
test,macd,technical_indicator,85820,-0.14341805039407154,-0.14124328583106252,0.4251130927119107,1.0890996464155216
test,ema_50,technical_indicator,85820,-0.12456088330942675,-0.13247330626681852,0.957527932517549,1.3659749471971068
test,SPY_Close,macro_market,85820,-0.06825267876513057,-0.12354554133756841,-0.007741961245159533,0.9683722424405361
test,WTI_Close,macro_market,85820,-0.1015457146996041,-0.12300358344018059,-0.011719478951440132,0.9258189530394825
test,PC7,pca_feature,85820,-0.12344983719553672,-0.12263140456524872,0.12166818627785209,2.961743500705132
test,sma_50,technical_indicator,85820,-0.10557871176730108,-0.11079374408871533,0.9165812700820548,1.3647600877229504
test,unrealized_gain_pct_norm,pnl_gain_path,85820,-0.11167365769784042,-0.10490100134553125,0.6338704653978787,0.23152400087501496
test,PC1,pca_feature,85820,-0.029964725303211995,-0.10056418755576478,-0.06932983607869397,14.713039290508812
test,PC9,pca_feature,85820,-0.039753554871800885,-0.07818998450709456,-0.15823948424770035,2.207528532702526
test,PC3,pca_feature,85820,0.12054614087812418,0.07460511081021474,-0.06788333458133551,4.6595305717465845
test,PC10,pca_feature,85820,0.033739013933013984,0.07157727854062965,0.03402848164210397,1.930071508166149
test,PC8,pca_feature,85820,-0.09076721735286715,-0.06446078922823396,0.06280486901568573,2.4664083586385677
test,rsi_14,technical_indicator,85820,-0.06555132762757011,-0.06081066384302204,0.27925877982968406,1.0268595140842298
test,Wheat_Close,macro_market,85820,-0.04455890921995445,-0.054109014832571765,0.0053382409440208565,0.8931832879933741
test,USD_CNY_Close,macro_market,85820,0.026183926816287607,0.0526474260394117,-0.06356414814859027,0.7617329599720359
test,PC6,pca_feature,85820,0.05346665934102129,0.041092722513373245,-0.17098253535093733,3.233764630978992
test,EUR_USD_Close,macro_market,85820,-0.025955297653454883,-0.028040940509048602,-0.01816868822147756,0.8860511075667578
test,USD_JPN_Close,macro_market,85820,0.001084576360309965,-0.009959247475437276,0.03540055210313557,0.965311471633439
test,Gold_Close,macro_market,85820,0.019832040911620143,0.002550615316677733,0.07894533858186671,1.1289897683307248
test,PC5,pca_feature,85820,-0.004568219119800362,-0.002338477819460959,0.22689738890157923,3.736644266884055
validation,days_to_tax_transition_norm,tax_timing,112570,-0.20714814293916742,-0.22471769145821968,0.37004975899318665,0.243247027253739
validation,macd_hist,technical_indicator,112570,-0.16664812157457837,-0.18203228640925936,0.29457870887471976,1.1029581164315971
validation,PC2,pca_feature,112570,0.11764041500797331,0.13616505302367363,-0.49772847412516097,5.905444946116967
validation,macd_signal,technical_indicator,112570,0.1892056070609409,0.19825821039436792,-0.0871228955003566,1.0180923588443955
validation,sma_20,technical_indicator,112570,-0.17189616419979944,-0.1627078835268756,0.6633757706873443,1.2360857192848715
validation,bb_middle,technical_indicator,112570,-0.17189616419979944,-0.1627078835268756,0.6633757706873443,1.2360857192848715
validation,sma_10,technical_indicator,112570,-0.15757613602575657,-0.15118423678936455,0.6516588914375712,1.2179028682655209
validation,ema_20,technical_indicator,112570,-0.1591287920817505,-0.15096927957295586,0.6744185651807962,1.2493334420920736
validation,ema_10,technical_indicator,112570,-0.15155221859175022,-0.14543156669880788,0.6586916376563049,1.2252621515056252
validation,bb_upper,technical_indicator,112570,-0.16458810090587223,-0.1565808399712261,0.6122339743187255,1.2337993991940606
validation,PC4,pca_feature,112570,-0.13176667736399358,-0.12634113164994404,-0.3365210686351547,4.292006773807712
validation,bb_lower,technical_indicator,112570,-0.15669926917172386,-0.14938908283976154,0.6546518160305957,1.2175604130566648
validation,ema_5,technical_indicator,112570,-0.13681944346466754,-0.1325595063022288,0.6451221537375317,1.2139293351731082
validation,sma_5,technical_indicator,112570,-0.1353844200319539,-0.13079667878348114,0.640868571625217,1.2100344896542874
validation,Semiconductor_Close,macro_market,112570,0.009906591728913512,-0.0488175401809368,0.020734722687917945,0.9518150934125693
validation,VIX_Close,macro_market,112570,-0.0015716683300050986,-0.010089123078028341,-0.6022269201827445,1.033252948226212
validation,macd,technical_indicator,112570,-0.09566542101717453,-0.11219804099766596,0.24317564572933908,1.0939714298411594
validation,ema_50,technical_indicator,112570,-0.12908176077054015,-0.12039816533957798,0.6654742173537243,1.3269089777225502
validation,SPY_Close,macro_market,112570,0.017560312990905103,-0.01922370628888035,0.002649920315713709,0.9383125682255933
validation,WTI_Close,macro_market,112570,-0.15163911345357975,-0.13347008514807354,-0.014896793440812846,0.9053289064132483
validation,PC7,pca_feature,112570,-0.03825591090348002,-0.03536649968741414,0.12014241738859192,2.5634100075391597
